65550025         0a08f000062f03f103ff02
65550026         0a08f000062f03f103ff01
65550020         1000000200020908032203200000000009083000140000000000
65550021         0a08f000062f03f103ff10
65550022         0a08f000062f03f100ff80
65550023         0a08f000062f03f103ff08
6542000c         10000002000209080322f1910000000009083000000000000000
6542000d         10000002000209080322f1920000000009083000000000000000
6542000e         10000002000209080322f1940000000009083000000000000000
6542000f         10000002000209080322f1a40000000009083000000000000000
65420008         10000002000209080322f1890000000009083000000000000000
65420009         10000002000209080322f18a0000000009083000000000000000
6542000a         10000002000209080322f18b0000000009083000000000000000
6542000b         10000002000209080322f1900000000009083000000000000000
65420004         10000002000209080319020a0000000009083000000000000000
65420005         10000002000209080414ffffff00000009083000000000000000
65420006         10000002000209080322e0010000000009083000000000000000
65420007         10000002000209080322f1870000000009083000000000000000
65420001         10000001000009080210010000000000
65420002         010280ff07d00908023e000000000000
65420003         0102000000000908023e000000000000
6542001c         10000002000209080322010e0000000009083000000000000000
6542001d         1000000200020908032201100000000009083000000000000000
6542001e         1000000200020908032201110000000009083000000000000000
6542001f         10000002000209080322011e0000000009083000000000000000
65420018         1000000200020908032201090000000009083000000000000000
65420019         10000002000209080322d0000000000009083000000000000000
6542001a         10000002000209080322010b0000000009083000000000000000
6542001b         10000002000209080322010d0000000009083000000000000000
65420014         1000000200020908032201030000000009083000000000000000
65420015         1000000200020908032201040000000009083000000000000000
65420016         1000000200020908032201050000000009083000000000000000
65420017         10000002000209080322d0010000000009083000000000000000
65420010         10000002000209080322f1a60000000009083000000000000000
65420011         1000000200020908032201000000000009083000000000000000
65420012         1000000200020908032201010000000009083000000000000000
65420013         10000002000209080322d0050000000009083000000000000000
6542002c         1000000200020908032201360000000009083000000000000000
6542002d         1000000200020908032201370000000009083000000000000000
6542002e         10000002000209080322013a0000000009083000000000000000
6542002f         10000002000209080322013b0000000009083000000000000000
65420028         10000002000209080322012d0000000009083000000000000000
65420029         10000002000209080322012f0000000009083000000000000000
6542002a         1000000200020908032201310000000009083000000000000000
6542002b         1000000200020908032201320000000009083000000000000000
65420024         1000000200020908032201280000000009083000000000000000
65420025         1000000200020908032201290000000009083000000000000000
65420026         10000002000209080322012b0000000009083000000000000000
65420027         10000002000209080322012c0000000009083000000000000000
65420020         1000000200020908032201200000000009083000000000000000
65420021         1000000200020908032201230000000009083000000000000000
65420022         1000000200020908032201250000000009083000000000000000
65420023         1000000200020908032201270000000009083000000000000000
6542003c         1000000200020908032201580000000009083000000000000000
6542003d         10000002000209080322015b0000000009083000000000000000
6542003e         10000002000209080322015c0000000009083000000000000000
6542003f         1000000200020908032201600000000009083000000000000000
65420038         1000000200020908032201480000000009083000000000000000
65420039         1000000200020908032201490000000009083000000000000000
6542003a         1000000200020908032201560000000009083000000000000000
6542003b         1000000200020908032201570000000009083000000000000000
65420034         1000000200020908032201410000000009083000000000000000
65420035         1000000200020908032201450000000009083000000000000000
65420036         1000000200020908032201460000000009083000000000000000
