ffff0104         0b08ffff0227210000000000
003a0001         1000000200020908032215120000000009083000000000000000
003a000c         0908e2a0052f5b310340
003a000d         0808e2a0042f5b3100
003a000a         0908e2a0052f5b310310
003a000b         0908e2a0052f5b310320
003a0008         0908e2a0052f5b310304
003a0009         0908e2a0052f5b310308
00340006         0908e420052f6b380300
00340007         0808e420042f6b3800
00340004         0808e420042f6b3000
00340005         0908e420052f6b380301
00340002         0908e420052f6b300301
00340003         0908e420052f6b300300
00340001         1000000200020908032230050000000009083000000000000000
0034000e         0908e420052f6b3b0301
0034000f         0908e420052f6b3b0300
0034000c         0908e420052f6b3a0300
0034000d         0808e420042f6b3a00
0034000a         0808e420042f6b3900
0034000b         0908e420052f6b3a0301
00340008         0908e420052f6b390301
00340009         0908e420052f6b390300
00340016         0808e420042f6b3400
00340017         0908e420052f6b350301
00340014         0908e420052f6b340301
00340015         0908e420052f6b340300
00340012         0908e420052f6b3c0300
00340013         0808e420042f6b3c00
00340010         0808e420042f6b3b00
00340011         0908e420052f6b3c0301
0034001e         0908e420052f6b370300
0034001f         0808e420042f6b3700
0034001c         0808e420042f6b3600
0034001d         0908e420052f6b370301
0034001a         0908e420052f6b360301
0034001b         0908e420052f6b360300
00340018         0908e420052f6b350300
00340019         0808e420042f6b3500
00340026         0908e420052f6b2b0301
00340027         0908e420052f6b2b0300
00340024         0908e420052f6b2a0300
00340025         0808e420042f6b2a00
00340022         0808e420042f6b2f00
00340023         0908e420052f6b2a0301
00340020         0908e420052f6b2f0301
00340021         0908e420052f6b2f0300
0034002e         0808e420042f6b2700
0034002f         0908e420052f6b280301
0034002c         0908e420052f6b270301
0034002d         0908e420052f6b270300
0034002a         0908e420052f6b2e0300
0034002b         0808e420042f6b2e00
00340028         0808e420042f6b2b00
00340029         0908e420052f6b2e0301
00340036         0908e420052f6b3d0300
00340037         0808e420042f6b3d00
00340034         0808e420042f6b2900
00340035         0908e420052f6b3d0301
00340032         0908e420052f6b290301
00340033         0908e420052f6b290300
00340030         0908e420052f6b280300
00340031         0808e420042f6b2800
0034003e         0908e420052f6b400301
0034003f         0908e420052f6b400300
0034003c         0908e420052f6b3f0300
0034003d         0808e420042f6b3f00
0034003a         0808e420042f6b3e00
0034003b         0908e420052f6b3f0301
00340038         0908e420052f6b3e0301
00340039         0908e420052f6b3e0300
00340046         0808e420042f6b4200
00340047         0908e420052f6b2c0301
00340044         0908e420052f6b420301
00340045         0908e420052f6b420300
00340042         0908e420052f6b410300
00340043         0808e420042f6b4100
00340040         0808e420042f6b4000
00340041         0908e420052f6b410301
0034004e         0908e420052f6b310300
0034004f         0808e420042f6b3100
0034004c         0808e420042f6b2d00
0034004d         0908e420052f6b310301
0034004a         0908e420052f6b2d0301
0034004b         0908e420052f6b2d0300
00340048         0908e420052f6b2c0300
00340049         0808e420042f6b2c00
00340054         0908e420052f6b330300
00340055         0808e420042f6b3300
00340052         0808e420042f6b3200
00340053         0908e420052f6b330301
00340050         0908e420052f6b320301
00340051         0908e420052f6b320300
00300001         10000002000209080322f0100000000009083000000000000000
00450006         0908e560052f63600305
00450007         0908e560052f63600306
00450004         0908e560052f63600303
00450005         0908e560052f63600304
00450002         0908e560052f63600301
00450003         0908e560052f63600302
00450001         1000000200020908061906111213030009083000000000000000
0045000c         0908e560052f63610304
0045000d         0808e560042f636100
0045000a         0908e560052f63610302
0045000b         0908e560052f63610303
00450008         0808e560042f636000
00450009         0908e560052f63610301
00440006         10000002000209080322f1a50000000009083000000000000000
00440007         10000002000209080322f1a90000000009083000000000000000
00440004         10000002000209080322f1a60000000009083000000000000000
00440005         10000002000209080322f1aa0000000009083000000000000000
00440002         10000002000209080322f1a20000000009083000000000000000
00440003         10000002000209080322f1a40000000009083000000000000000
00440001         1000000200020908032239100000000009083000000000000000
0044000e         10000002000209080322395b0000000009083000000000000000
0044000f         10000002000209080322395c0000000009083000000000000000
0044000c         1000000200020908032239540000000009083000000000000000
0044000d         10000002000209080322395a0000000009083000000000000000
0044000a         1000000200020908032239160000000009083000000000000000
0044000b         1000000200020908032239530000000009083000000000000000
00440008         1000000200020908032239090000000009083000000000000000
00440009         1000000200020908032239150000000009083000000000000000
00440016         10000002000209080322397d0000000009083000000000000000
00440017         1000000200020908032239810000000009083000000000000000
00440014         1000000200020908032239820000000009083000000000000000
00440015         1000000200020908032239790000000009083000000000000000
00440012         10000002000209080322397a0000000009083000000000000000
00440013         10000002000209080322397e0000000009083000000000000000
00440010         10000002000209080322395d0000000009083000000000000000
00440011         10000002000209080322395e0000000009083000000000000000
0044001e         10000002000209080322391e0000000009083000000000000000
0044001f         10000002000209080322398c0000000009083000000000000000
0044001c         10000002000209080322398f0000000009083000000000000000
0044001d         1000000200020908032239840000000009083000000000000000
0044001a         1000000200020908032239830000000009083000000000000000
0044001b         10000002000209080322398e0000000009083000000000000000
00440018         10000002000209080322397b0000000009083000000000000000
00440019         10000002000209080322397f0000000009083000000000000000
00460002         1000000200020908032224020000000009083000000000000000
00460001         1000000200020908032224010000000009083000000000000000
00430006         1000000200020908032239190000000009083000000000000000
00430004         1000000200020908032239170000000009083000000000000000
00430005         1000000200020908032239180000000009083000000000000000
00430002         1000000200020908061906111213020009083000000000000000
00430003         1000000200020908032239060000000009083000000000000000
00430001         1000000200020908061906111213010009083000000000000000
